title,text,label
Government announces new education policy,The government has announced a new education policy for students,1
Scientists discover water on Mars,NASA scientists have found evidence of water on Mars,1
Prime minister launches health scheme,A new health scheme was launched for poor families,1
School exams postponed due to rain,The education department postponed exams due to heavy rainfall,1
Stock market rises after budget announcement,The stock market showed positive growth after the budget,1
Aliens landed in Delhi last night,Aliens were seen landing in Delhi according to social media posts,0
Drinking lemon water cures all diseases,A viral post claims lemon water can cure every disease,0
Celebrity gives away free cars to everyone,A fake article claims a celebrity is giving free cars to all citizens,0
Government will ban internet tomorrow,A false message says internet will be banned across the country,0
Magic tablet makes students score full marks,A viral fake news claims a tablet guarantees full marks,0
